image1_image2,label
1485_4047,diff
5335_6055,same
10796_3696,same
11991_6672,same
7003_2539,same
590_12141,diff
8884_9008,diff
11046_1321,diff
5320_11038,diff
2317_5720,diff
8721_7530,same
5999_422,same
5355_13180,same
1296_13147,diff
10524_6124,same
7308_8177,diff
6870_9403,same
6909_1501,diff
2609_12816,same
9008_10228,diff
7348_2961,same
11731_10495,same
11005_10659,diff
5620_5822,diff
3937_2973,same
5476_9245,diff
4967_6334,diff
2279_3340,diff
5359_11346,diff
9405_4873,same
2821_4394,diff
6463_9872,diff
8534_1058,diff
2911_3458,diff
1416_8876,same
12075_2908,diff
4286_8322,diff
6345_6712,diff
2261_5057,diff
655_8103,same
7427_762,same
4377_302,diff
6278_12548,diff
4011_5907,same
2597_257,same
11731_9170,same
1168_8934,same
4110_9210,same
7308_5384,same
9836_2334,same
4737_3338,same
3476_7880,same
6230_11378,same
8274_12330,diff
13232_4548,diff
2080_5838,diff
2901_12644,same
8903_3544,diff
6178_8683,same
9480_9700,same
3561_130,diff
12034_9679,same
7417_4218,diff
11395_8823,same
10080_4938,diff
12454_1952,same
4441_12427,same
9027_12734,diff
4243_4294,diff
4718_12338,diff
1556_11818,diff
11266_12714,same
2831_7954,diff
7925_3206,same
2327_11169,same
4462_1537,same
10790_4772,same
2353_2230,diff
2932_12152,diff
5427_5664,diff
4516_3550,same
5069_1206,diff
4232_7092,diff
6580_12033,same
11046_7670,diff
4915_879,diff
8150_5944,same
3163_13014,same
5183_9167,diff
12019_7993,same
11235_11783,diff
10248_8786,diff
8101_4775,diff
10728_0,diff
6555_8719,diff
1519_6873,diff
5834_6514,diff
11358_8931,diff
8877_11086,same
11927_9974,same
5419_11695,diff
11593_7322,diff
11140_10957,diff
10729_4942,same
3950_2359,diff
170_1307,same
4417_1076,diff
2643_12791,same
44_9754,diff
12391_2717,diff
7132_6088,same
6454_7702,diff
1368_11119,diff
524_3574,diff
8571_7302,same
7879_5363,same
9999_11511,same
5060_10660,same
905_3752,same
5993_4314,same
1206_180,diff
713_5698,same
13045_5505,same
5231_1448,same
11626_9773,diff
2758_10549,diff
6569_11597,same
5674_1443,diff
5780_12166,diff
5556_1193,diff
12370_9558,same
1541_9840,same
948_10640,same
11026_3284,same
11924_2428,same
2220_4627,same
2979_11914,same
10121_7984,same
9283_3342,diff
10106_3121,same
6114_12397,same
377_7459,same
3937_865,diff
10848_12168,diff
5715_11240,same
5090_11312,diff
9495_11775,diff
4554_12567,same
1151_10084,diff
7555_7148,same
5767_10644,diff
5364_8860,same
3031_3287,diff
3944_3037,same
6202_9603,same
10070_1175,same
1500_3672,same
9061_8034,diff
529_702,diff
348_9571,diff
12309_6617,same
8711_11565,same
7568_7378,diff
5940_9211,diff
3427_12838,same
1420_9720,diff
12022_6128,same
4505_9012,diff
9266_3624,diff
12157_555,diff
10759_1959,same
10260_12645,diff
7836_8209,diff
490_13104,same
3706_10555,same
2857_8741,diff
709_4574,diff
4012_9740,same
12911_2455,diff
3820_5052,diff
6923_9189,same
3529_1359,diff
9818_11659,same
6028_2873,diff
6964_10737,same
11070_97,same
6262_3607,same
8242_3391,same
6460_7906,same
9246_2584,diff
12966_4390,same
12610_2369,same
7639_6434,diff
68_2950,same
4450_5705,same
11569_583,same
6525_7947,same
8821_8939,same
4319_6816,same
7472_8162,diff
10009_10737,same
4088_3856,diff
3296_2626,same
7408_1537,same
12533_1283,same
1001_5782,same
11907_4701,diff
1120_791,diff
12234_2475,diff
10823_9696,diff
8116_4365,same
7473_11551,diff
6230_9988,same
4506_6665,same
6861_4742,same
11592_5537,diff
9504_6427,same
6303_10201,diff
10797_5562,diff
6814_1499,same
1358_6467,diff
10115_5337,diff
2207_7772,diff
256_4011,same
4264_8169,same
3468_11835,same
978_3790,diff
10975_8384,same
13095_4174,diff
9725_11701,same
12536_2462,same
12229_7107,same
8529_5029,same
3679_5626,diff
8453_6559,diff
7050_7508,same
2142_12701,diff
259_5043,same
4031_10080,diff
7627_8820,diff
11406_5626,diff
2987_239,same
7050_12385,diff
13180_3589,diff
1815_9264,diff
5636_12263,same
11205_857,diff
9697_1583,diff
7985_12738,same
9074_139,diff
9989_7978,same
5488_6546,diff
2508_11315,same
10954_7946,same
11382_13187,diff
10208_7163,same
2012_12553,same
8048_8127,same
11501_7791,same
437_1454,diff
11260_5465,same
88_12714,diff
12483_5933,same
8897_12613,same
3775_3807,diff
6376_12765,diff
1876_11394,same
1375_11693,same
8312_9734,same
1991_10773,diff
2867_5986,same
3432_4822,same
12295_5389,same
5929_3181,diff
11729_6384,same
1607_247,same
3134_9162,same
2482_10559,same
5166_3589,same
9962_469,diff
7658_5807,diff
2773_8584,same
8950_1306,diff
12970_13099,diff
11198_7578,diff
8481_8869,same
4537_3598,same
2146_10583,same
7936_11999,same
1356_6849,same
4961_1740,diff
673_13208,same
9574_279,diff
3341_8440,same
6050_9969,diff
5898_10481,diff
8050_8599,diff
13212_2518,same
4572_4522,same
7340_8181,same
5915_1594,same
3724_2263,same
416_11105,diff
8092_483,same
4815_11900,diff
13067_5864,same
8718_6120,diff
11765_12031,same
12408_12032,same
3059_12683,diff
2001_2764,diff
3543_6084,same
1368_10378,diff
8733_12123,diff
2249_7277,same
11113_12236,same
8778_6497,same
4699_11080,diff
10644_5385,diff
13132_8850,diff
1493_13000,same
9782_5733,diff
8063_2179,same
3995_1010,diff
2706_12006,diff
4378_8588,same
9405_6455,same
11472_3331,same
991_6611,diff
8189_11933,same
12325_7899,diff
8246_11157,diff
3999_12861,same
11415_13009,diff
3011_10231,diff
12637_2071,diff
3093_12726,diff
3064_12822,diff
12734_82,same
442_10714,diff
6030_3752,same
5546_10193,diff
5794_11782,diff
2650_1208,diff
7812_5594,same
2722_7967,same
9351_6939,same
12568_5660,same
5858_1290,same
8465_11408,same
5432_3950,diff
7354_4942,same
12975_7810,same
8655_9381,diff
1940_2374,diff
3682_12602,diff
9971_6812,same
3435_6138,same
10442_5309,diff
9974_1121,diff
12984_9043,same
89_767,diff
6861_10452,same
8329_6682,same
7965_6547,diff
6594_12368,diff
2871_8210,diff
13212_9243,same
8868_3383,diff
4012_12838,same
7493_4559,same
1101_5832,diff
5008_12115,diff
886_199,same
6122_5471,same
3652_1527,same
4813_9264,diff
5414_2494,same
5558_4001,same
1022_4266,same
8013_6427,diff
11191_12698,diff
10584_9981,same
8692_2553,same
6555_2764,diff
11075_11097,diff
8793_6330,same
2590_1291,same
13069_8068,diff
384_8810,same
6621_4692,same
6964_10009,same
452_7869,same
6305_7763,same
650_194,same
11560_2257,same
88_6740,diff
8288_9310,diff
8674_7789,diff
3621_6873,diff
4848_10863,diff
1363_3842,same
8573_5180,diff
11428_11195,same
8428_11,same
4776_1580,same
12208_8008,same
12940_6262,same
4615_233,same
641_6618,same
9922_11715,same
11835_2261,same
675_2571,same
5941_13048,same
3337_5087,same
11790_6686,same
12555_2037,diff
10898_8063,diff
2616_198,same
11124_8205,diff
11513_11320,same
8323_11622,same
4303_7223,diff
8040_9847,diff
9487_1694,diff
9323_5716,diff
10207_5558,diff
6690_7606,diff
2704_1326,same
7092_5522,same
4051_6330,same
2818_2989,diff
1429_4560,same
3064_7311,diff
3814_8905,diff
5338_3940,diff
3717_7577,diff
10652_5378,same
10265_3163,diff
950_5772,same
7703_3147,same
9180_2545,diff
6057_10746,diff
8630_1634,same
95_9217,same
5448_5899,same
2733_6173,diff
3081_7200,diff
2676_1212,same
333_791,diff
7701_7612,same
10683_10154,same
10978_7045,same
11636_8919,same
9776_9509,same
11124_11432,diff
25_7812,diff
6039_2633,diff
3939_8950,diff
1316_8024,diff
4276_3492,diff
785_6021,same
1100_3154,same
10137_3701,same
2089_3769,diff
5337_6084,same
130_4287,diff
1384_5475,diff
13224_4035,diff
7027_8909,diff
11585_12825,same
12930_8830,diff
9048_1332,same
2974_12673,same
7987_1637,same
9664_10904,same
5925_7700,same
7978_4366,diff
8023_12083,diff
12637_8731,diff
10573_1510,same
6286_1735,diff
184_13096,diff
3387_2706,same
7929_6576,diff
10461_6456,diff
9521_11819,same
8796_270,diff
2421_8699,diff
6822_184,diff
335_493,diff
5434_11483,same
12606_3417,same
10689_11727,same
2999_6008,same
5469_6483,diff
6230_4896,diff
3508_3316,diff
2057_1532,same
13073_12910,same
2601_12581,diff
8277_7934,same
8597_8769,diff
11881_3352,diff
11109_3387,same
12253_4978,diff
2876_8594,diff
1918_1280,diff
9337_8937,same
9205_2804,diff
8290_1974,same
9746_10036,same
3970_5322,same
10415_10849,diff
3146_3623,same
1956_11231,diff
7678_2985,same
8028_3515,same
12849_10094,diff
4844_1991,diff
9343_9607,diff
1597_1935,same
3364_6842,diff
8118_7835,diff
12487_832,same
844_10214,same
1867_10211,diff
12705_1464,diff
10710_158,diff
11862_6893,diff
11964_4284,diff
1185_11024,diff
7487_6936,diff
4161_11303,same
11871_12578,same
3216_4349,diff
4520_17,diff
3983_5125,diff
7378_5841,diff
1234_8790,same
8946_2211,same
4217_9322,diff
5246_6909,same
4886_11816,same
4000_332,same
12019_10672,diff
4303_6338,same
2624_6604,diff
6795_9607,diff
1989_8049,diff
12062_966,diff
10883_11446,diff
9760_7828,same
6611_4776,diff
8233_1207,diff
10063_4676,same
7204_9267,same
956_8231,diff
12641_11762,diff
3814_831,same
5686_690,same
145_9543,diff
11636_8164,same
4842_11774,same
1386_7162,same
11463_5392,diff
10559_4790,diff
10472_5420,diff
10704_9799,same
11368_1273,diff
6471_3635,diff
12858_10647,diff
2483_10452,diff
9342_7387,diff
8712_10672,same
5515_3471,diff
8899_3741,same
6492_9153,diff
4664_1012,diff
5913_5855,same
12927_6011,same
4745_3104,same
11348_7854,diff
7625_2318,diff
12880_7934,same
8964_6370,diff
12801_5361,diff
12711_7202,same
4564_4886,same
12101_937,diff
8243_2661,diff
8748_1570,diff
12229_12419,diff
2939_10322,same
10703_6470,same
6497_1076,diff
12541_1845,diff
1152_7759,same
3117_1835,diff
6400_11778,same
1394_981,diff
13103_1120,diff
4743_5807,same
7289_12645,diff
1191_8991,same
2714_10435,same
7859_3310,same
5313_5506,same
12030_7641,same
11452_12692,same
11474_3619,diff
5352_8332,same
10978_9510,same
1835_6286,same
1099_5865,same
8733_7704,diff
9529_1375,diff
11909_3951,diff
8254_189,diff
2729_10952,same
5946_9226,same
8752_11245,same
2921_6798,diff
12607_1649,same
4310_2716,same
4632_6709,same
8674_2816,same
12406_8368,same
4603_5154,diff
3769_8968,diff
2677_11540,same
12579_12448,diff
3834_9366,same
4757_9611,same
7189_6285,diff
3517_9566,same
7831_8283,diff
1556_8820,diff
6891_12232,diff
3682_6923,diff
3267_7963,diff
12154_5657,diff
8057_952,same
8557_11715,same
6495_11955,diff
5866_6772,same
4449_10435,diff
5234_7481,same
878_2601,diff
6186_8276,same
8634_1354,same
6282_5258,same
6681_7640,diff
3831_3646,same
5929_4628,diff
1583_806,same
477_10665,same
5660_318,same
9073_2846,same
13034_11585,same
8873_11514,diff
2240_13179,same
12010_4030,diff
3552_11907,diff
4668_12100,diff
4254_8834,same
8807_6995,diff
5937_8931,diff
98_3458,diff
155_7132,diff
12438_12304,diff
6416_8057,diff
11071_394,diff
12664_1879,same
5539_894,same
12862_280,same
158_5165,diff
9736_10205,same
12541_12970,same
7975_5570,same
10681_4964,diff
13035_8647,same
11862_9042,diff
7568_3527,diff
48_551,same
2170_2604,same
11960_3923,diff
7191_7789,same
5270_7021,same
2582_5580,same
11182_3176,diff
11112_8200,same
7582_4244,diff
1403_2093,same
10753_3081,same
11086_3254,same
11226_6456,same
9738_12694,diff
1293_2959,diff
3881_10538,diff
10877_9943,diff
11748_10832,same
9943_11103,same
2792_4948,same
2042_325,diff
8312_11959,diff
8414_12745,same
2616_4985,same
9905_3988,same
799_12794,diff
3360_7518,diff
9492_10668,diff
7837_2008,diff
7027_7807,diff
11046_6081,diff
6942_782,diff
10611_1489,same
4534_1425,same
11653_4005,same
2950_9945,same
11791_10911,same
2999_8841,same
8668_10317,diff
10430_5774,same
9536_11206,same
10457_2865,diff
11813_2194,same
4850_9814,same
3143_8888,diff
2095_7677,same
6602_2410,same
10161_7602,same
11487_11451,same
5139_12400,diff
11240_6849,diff
598_6330,same
1426_7758,same
11880_8373,same
3749_7731,diff
12047_12690,same
3138_3777,diff
12731_10114,same
12177_11005,diff
8130_59,diff
9421_7591,diff
1291_2982,diff
2810_5129,diff
12832_9694,diff
10442_12900,diff
2986_8682,diff
9813_10211,same
386_8385,same
8881_4319,same
13122_6417,same
12241_7934,same
5702_5005,diff
12751_11379,same
462_10722,diff
12993_1639,diff
4676_11384,diff
4276_10199,diff
10970_5917,diff
5313_1763,same
5270_4477,diff
6156_9089,diff
9873_9931,diff
4737_7168,same
8448_479,same
4103_3646,diff
8828_11060,diff
3730_1751,diff
533_1811,same
4989_10837,same
4275_7997,same
9409_7354,same
2013_11288,diff
7205_2493,same
9421_2577,diff
12597_11105,same
383_6918,same
9885_9597,same
4383_6393,diff
8411_8095,diff
5527_10474,same
3091_12985,same
5870_7686,same
12014_8072,diff
10738_7673,diff
9575_12750,same
7273_4646,diff
7410_1384,diff
8096_3095,same
6588_12603,same
5386_4014,same
1751_6107,diff
6868_11309,same
437_2749,diff
1446_2598,diff
9956_6450,diff
1604_413,diff
9726_8579,diff
2385_5489,same
4477_12713,same
667_3931,same
144_8934,same
12446_4752,same
4921_11876,same
10868_4052,diff
4035_4816,same
9881_5584,same
8495_6857,diff
9569_25,diff
791_2712,diff
2559_10113,same
5090_4463,diff
2860_8415,same
1511_6033,same
12611_4390,same
7907_917,same
9159_11869,diff
10705_1817,same
3520_9853,diff
3024_8465,same
6681_7062,diff
3916_12128,same
7518_5857,diff
408_2390,same
2618_8790,same
11654_5129,same
9516_4836,same
12130_8421,same
6485_6919,diff
9029_6996,same
9098_917,same
2479_9597,diff
1103_4646,diff
11873_1647,diff
9540_9998,same
1607_11892,same
12459_9406,diff
9577_381,diff
7516_8974,same
4234_7794,same
9538_11262,same
7632_3711,diff
11804_7478,same
9630_12923,same
9872_5437,diff
4197_1352,same
11273_12445,same
2532_7854,diff
2299_8102,same
7794_12343,diff
2924_4647,diff
7902_5976,diff
11169_11358,same
6194_6281,diff
6733_1634,same
12778_10467,diff
3482_8796,same
3187_13063,diff
3319_1156,same
1000_10733,diff
12095_7789,same
2872_3354,diff
5385_9343,diff
6539_1669,same
4359_12956,same
9088_701,diff
5099_5878,diff
1121_12614,diff
2274_8623,diff
8448_1186,diff
3008_776,same
4603_7784,diff
9699_11461,same
1646_4962,diff
11078_56,same
7174_2582,same
3924_6417,same
6681_13066,diff
8887_9614,same
959_8440,same
9342_6391,same
5531_6888,same
11677_277,diff
7533_11191,diff
8468_4962,diff
10405_7546,same
6995_10295,same
11585_5319,same
6208_2689,diff
11077_4436,same
827_5717,diff
8884_2329,diff
13066_3491,same
3402_1367,same
4591_1660,same
11141_10089,same
6706_1784,diff
1184_625,same
11322_381,diff
2183_5242,same
4497_436,same
5076_3583,same
1989_4589,diff
323_2601,diff
7158_6031,diff
6839_2899,diff
10377_977,same
11579_12576,diff
6113_7754,diff
9059_6976,diff
634_9105,same
2651_12106,same
8092_2410,same
5442_6234,same
5038_2549,same
536_6129,same
4892_8141,diff
6990_6766,same
5959_7371,diff
8735_9483,diff
3638_1489,same
9110_11212,diff
3468_2261,same
5685_411,same
12832_5717,same
9490_6930,same
11153_13180,same
8739_4137,diff
1798_11533,same
12075_6220,same
10097_8261,same
10901_13180,same
3134_3891,same
318_9359,same
3656_1433,same
8728_8061,diff
12414_5058,same
11914_11670,same
1403_3229,same
6176_3048,diff
7603_10730,diff
10818_5943,same
695_10197,diff
8464_6199,diff
6631_618,diff
3328_3302,same
4011_3147,same
3116_2399,same
3870_1941,same
10713_2514,same
8422_8741,diff
5039_643,same
10823_10159,diff
243_12461,same
3917_3626,same
1453_3174,same
6349_7506,same
11571_4186,diff
9497_2828,same
3803_1077,same
6140_1383,same
11184_2719,diff
2452_4360,same
8464_289,same
1932_8374,same
10118_9258,diff
10789_4859,diff
5920_9377,diff
1321_2985,diff
1041_429,same
2717_8373,same
2149_3583,same
3436_6483,diff
3410_2062,same
12291_10538,diff
10528_4646,diff
7241_11165,diff
1991_10246,diff
9496_8471,same
2000_3803,same
2030_2613,diff
12927_12271,same
12849_11895,diff
8898_12767,diff
2527_13070,same
12394_3006,diff
10675_853,diff
3615_1912,diff
1192_2970,diff
8671_6143,diff
12138_7858,diff
3788_7036,diff
355_10746,same
8843_9470,same
899_12866,diff
3418_2231,diff
8175_6662,diff
7200_752,same
5476_8124,diff
12366_11900,same
9392_4235,same
2439_12643,diff
6164_4970,same
4574_9474,diff
10614_10680,diff
146_9614,diff
7714_8049,diff
3267_3137,diff
4687_2016,same
8733_12901,diff
605_12816,same
3605_601,diff
7503_1698,same
5068_11043,diff
6500_4128,same
4750_12524,diff
1952_6201,same
8254_10436,diff
5063_345,diff
9378_9866,diff
12497_6438,diff
7414_8655,diff
11976_6783,diff
9236_8124,diff
3327_1171,diff
1998_8267,same
2964_3005,same
2859_3881,same
11593_1223,diff
2306_7847,same
12757_2908,same
12471_3536,same
394_7261,diff
5695_8563,diff
2876_10454,same
7719_1335,same
8126_12833,same
11568_606,diff
12152_685,diff
8778_10019,same
12214_6617,diff
3495_1920,same
925_2554,same
13086_7154,same
11445_4989,same
13181_1583,diff
12044_10446,diff
6987_12789,same
12842_3621,same
2381_7632,diff
6782_76,same
9082_10246,diff
8654_12106,same
2939_4816,diff
2645_7943,same
9223_4330,diff
8795_8322,diff
8557_8928,diff
10909_8553,diff
9603_1483,diff
9074_234,diff
3312_11027,diff
11109_2706,same
11650_7310,diff
11161_2492,diff
12964_8598,same
6450_6614,diff
5242_3102,same
3867_5566,diff
11398_6219,diff
6653_3336,diff
9183_6617,diff
2766_12534,same
7528_751,same
11589_3380,same
11392_11955,diff
6069_11699,diff
12459_11390,same
7892_6038,diff
10037_7037,diff
10373_12268,diff
7140_7217,same
5546_8707,diff
539_1610,same
12756_3252,same
9853_9006,same
10759_1470,same
8957_13227,diff
4345_10686,same
4332_6898,diff
7134_484,same
2655_10925,diff
4883_8505,diff
6101_7649,diff
7991_6430,diff
